<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2017.01.25	19925.0	20081.0	19912.0	20066.0	47757	0	0
2017.01.26	20066.0	20133.0	20055.0	20098.0	48589	0	0
2017.01.27	20109.0	20139.0	20073.0	20089.0	42909	0	0
2017.01.30	20029.0	20059.0	19867.0	19963.0	50335	0	0
2017.01.31	19946.0	19958.0	19783.0	19865.0	60274	0	0
2017.02.01	19870.0	19963.0	19844.0	19889.0	59681	0	0
2017.02.02	19873.0	19920.0	19804.0	19885.0	59286	0	0
2017.02.03	19887.0	20077.0	19851.0	20062.0	46608	0	0
2017.02.06	20047.0	20093.0	20002.0	20055.0	48373	0	0
2017.02.07	20048.0	20156.0	20028.0	20085.0	43383	0	0
2017.02.08	20056.0	20100.0	20014.0	20048.0	47991	0	0
2017.02.09	20052.0	20206.0	20025.0	20169.0	43118	0	0
2017.02.10	20182.0	20296.0	20175.0	20269.0	42497	0	0
2017.02.13	20286.0	20440.0	20278.0	20410.0	40225	0	0
2017.02.14	20419.0	20503.0	20382.0	20503.0	43112	0	0
2017.02.15	20499.0	20616.0	20487.0	20608.0	44798	0	0
2017.02.16	20637.0	20641.0	20557.0	20619.0	47444	0	0
2017.02.17	20601.0	20623.0	20525.0	20615.0	49388	0	0
2017.02.20	20595.0	20689.0	20584.0	20650.0	28028	0	0
2017.02.21	20653.0	20756.0	20620.0	20731.0	42902	0	0
2017.02.22	20710.0	20779.0	20688.0	20769.0	44692	0	0
2017.02.23	20768.0	20839.0	20746.0	20808.0	48719	0	0
2017.02.24	20793.0	20814.0	20713.0	20812.0	49060	0	0
2017.02.27	20817.0	20845.0	20770.0	20834.0	52512	0	0
2017.02.28	20811.0	20836.0	20774.0	20811.0	39930	0	0
2017.03.01	20833.0	21170.0	20818.0	21113.0	65440	0	0
2017.03.02	21101.0	21138.0	20991.0	20995.0	51559	0	0
2017.03.03	20992.0	21044.0	20932.0	20999.0	54315	0	0
2017.03.06	20931.0	20985.0	20902.0	20957.0	49185	0	0
2017.03.07	20936.0	20970.0	20899.0	20921.0	40592	0	0
2017.03.08	20896.0	20951.0	20834.0	20856.0	53686	0	0
2017.03.09	20867.0	20902.0	20777.0	20858.0	54640	0	0
2017.03.10	20874.0	20976.0	20826.0	20903.0	63539	0	0
2017.03.13	20867.0	20921.0	20846.0	20871.0	44542	0	0
2017.03.14	20872.0	20873.0	20783.0	20845.0	50763	0	0
2017.03.15	20846.0	20972.0	20843.0	20927.0	50156	0	0
2017.03.16	20943.0	21022.0	20890.0	20930.0	56174	0	0
2017.03.17	20920.0	20976.0	20903.0	20909.0	43827	0	0
2017.03.20	20899.0	20953.0	20874.0	20911.0	38435	0	0
2017.03.21	20907.0	20968.0	20656.0	20662.0	73193	0	0
2017.03.22	20657.0	20685.0	20578.0	20643.0	80939	0	0
2017.03.23	20676.0	20755.0	20613.0	20657.0	72437	0	0
2017.03.24	20691.0	20725.0	20529.0	20623.0	77048	0	0
2017.03.27	20540.0	20578.0	20408.0	20551.0	80550	0	0
2017.03.28	20572.0	20734.0	20512.0	20704.0	58374	0	0
2017.03.29	20692.0	20720.0	20621.0	20660.0	53447	0	0
2017.03.30	20653.0	20753.0	20628.0	20723.0	50508	0	0
2017.03.31	20725.0	20728.0	20655.0	20662.0	51712	0	0
